Сайт;Дата запуска;Статус запуска;Топвизор;Срок;Оплата;;Примечения;Где проект;;
;;;;;;;;;;
avtoritm24.ru ;19.06.2023;ЗАПУЩЕН;https://tpv.sr/uhB7ct-uo/;до 25 января ;3750;;;;;
;;;;;;;;;;
shugar-ok.ru ;19.06.2023;ПАУЗА;https://tpv.sr/uhA22m-uX/;до 19 сентября ;5000;;;;;
;;;;;;;;;;
https://1poezd.ru;20.06.2023;ПАУЗА;https://tpv.sr/uhA22o-Ny/;до 20 августа;13.333;Эдик помогает;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;; ;15000;;;;;
https://asfaltobeton-zavod.msk.ru/;20.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA22q-Z1/;до 22 февраля   ;;;;;;
https://centerbeton.msk.ru/;20.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA22p-7C/;до 22 февраля   ;;;;;;
betonevro.ru;21.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA28E-fG/;до 22 февраля   ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://vip-premium.site/;21.06.2023;ПАУЗА ;https://tpv.sr/uhAOeR-vW/;;;;;;;
playboyspa.ru;;ПАУЗА ;https://tpv.sr/uhA42L-Dl/;;;;;;;
relax102.ru;;ПАУЗА ;https://tpv.sr/uhA42M-4j/;;;;;;;
otelnavolne.ru;15.07.2023;ПАУЗА ;https://tpv.sr/uhA0VJ-hq/;;;;;;;
https://xmassage.vip/;17.07.2023;ПАУЗА ;https://tpv.sr/uhAOeS-gG/;;;;;;;
https://mantra-time.site/;29.07.2023;ПАУЗА ;https://tpv.sr/uhAIiL-BN/;;;;;;;
клуб-энигма.рф;23.08.2023;ПАУЗА ;https://tpv.sr/uhAORm-Zp/;;;;;;;
http://malina59.ru/;23.08.2023;ПАУЗА ;https://tpv.sr/uhAOeX-G7/;;;;;;;
premier-spa78.ru/;27.08.2023;ПАУЗА ;https://tpv.sr/uhAOeU-Zz/;;;;;;;
https://mystery-spb.ru/;29.08.2023;ПАУЗА ;https://tpv.sr/uhAPUi-EJ/;;;;;;;
29 САЙТОВ (ЕДИНЫЙ СПИСОК) ;18.09.2023;ПАУЗА ;;до 18 декабря ;;;;;;
;;;;;;;;;;
https://onhour.ru;21.06.2023;ПАУЗА;https://tpv.sr/uhA23x-nx/;до 21 августа ;10.000 _;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://plastelo.ru/;21.06.2023;ПАУЗА;https://tpv.sr/uhALW6-KC/;до 7 октября  ;;;;1 сервер;;
promtex-termo.ru;08.08.2023;ПАУЗА;https://tpv.sr/uhALa9-VI/;;;;;;;
slivkursov.net;08.08.2023;ПАУЗА ;https://tpv.sr/uhB3Ji-hS/;до 23 декабря  ;;;;;;
https://topslivkursov.com;14.08.2023;ПАУЗА;https://tpv.sr/uhAMfo-1v/;до 14 сентября;;;;;;
http://medmiks24.ru ;14.08.2023;ПАУЗА;https://tpv.sr/uhAMgg-aC/;до 14 сентября;;;;;;
msk.stommarket.ru;20.09.2023;ПАУЗА ;https://tpv.sr/uhB3JL-NI/;до 23 декабря  ;;;;;;
okna2-0.ru;;ПАУЗА ;https://tpv.sr/uhAZ0b-1A/;до 6 ноября ;;;;;;
https://okna-sofos.ru;;ПАУЗА;https://tpv.sr/uhAZ0a-i6/;до 13 января  ;;;;;;
https://vodostokstroy.ru;;ПАУЗА;https://tpv.sr/uhAZ0V-Al/;до 13 января  ;;;;;;
https://sofos-okna.ru;;ПАУЗА;https://tpv.sr/uhAZ0T-E0/;до 13 января  ;;;;;;
https://okna-germany.ru;;ПАУЗА ;https://tpv.sr/uhAZ0S-cT/;до 13 января  ;;;;;;
https://sofos.ru;;ПАУЗА;https://tpv.sr/uhAZ0Y-6Z/;до 13 января  ;;;;;;
https://kupioknaszavoda.ru;;ПАУЗА;https://tpv.sr/uhARWm-jU;до 13 января  ;;;;;;
prazdnikspb.com ;;ПАУЗА;https://tpv.sr/uhAZJZ-rS/;до 6 ноября ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
kvazar-ufa.com;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2Mc-eA/;до 4 февраля ;;;;;;
oknasokufa.ru;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA28r-Wu/;до 4 февраля      ;;;;;;
https://mb-beton.ru/;04.07.2023;ПАУЗА;;;;;;;;
https://potolki-samara.info/;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQa-5J/;до 4 февраля      ;;;;;;
https://impostrade.ru/;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQe-m1/;до 4 февраля      ;;;;;;
https://a-gk.ru/;04.08.2023;ЗАПУЩЕН;https://tpv.sr/uhASQf-TL/;до 4 февраля      ;;;;;;
domstroialyans.ru;04.08.2023;ЗАПУЩЕН;https://tpv.sr/uhASQh-PH/;до 4 февраля      ;;;;4 сервер;;
https://idea-ufa.ru/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAMzp-Qv/;до 17 ноября  ;;;;;;
https://opalubka77.ru/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN0s-an/;до 17 февраля   ;;;;;;
https://kristall-okna.by/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN0e-7X/;до 17 февраля   ;;;;;;
https://winwin-cargo.ru;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN1n-FI/;до 17 февраля   ;;;;;;
https://www.gorizontplus.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRI-mD/;до 27 января  ;;;;;;
https://spb.ochenkrepko.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRM-GI/;до 27 января  ;;;;;;
https://ochenkrepko.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRW-7f/;до 27 января  ;;;;;;
https://dirbix.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAqxD-j7/;до 7 января;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://rusinov-seo.ru/;11.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAT73-sP/;;;;;;;
трезвый-водитель1.рф;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2HV-B1/;;5000;;;;;
https://rusbeton.moscow/;22.06.2023;ПАУЗА;https://tpv.sr/uhA2HU-iI/;;;;;;;
https://rs-01.ru;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA9X9-6x/;;;;;2 сервер;;
https://luchetta.ru/;25.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2dC-Nw/;;5000;;;;;
sweetgrape.ru;27.06.2023;ПАУЗА;https://tpv.sr/uhA2cW-lI/;;2500;;;;;
psi-ddt.ru;27.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2bo-zR/;;5000;;;;;
памятники-благоустройство.рф;27.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2vr-oc/;;5 000 _;;;3 сервер;;
forvardstroyplus.ru;27.06.2023;ПАУЗА;https://tpv.sr/uhA2wO-cl/;;2 500 _;;;;;
fire-drop.ru;27.06.2023;ПАУЗА;https://tpv.sr/uhA2vs-Ak/;;2500;;;;;
dog-village.ru;30.06.2023;ЗАПУЩЕН;https://tpv.sr/uhAPtg-mi/;;5000;;;;;
tpack7.com;30.06.2023;ЗАПУЩЕН;https://tpv.sr/uhAPte-TN/;;5000;;;;;
ohrana-cerber.ru;30.06.2023;ЗАПУЩЕН;https://tpv.sr/uhAPtc-qB/;;5000;;;;;
https://vp-montazh.ru/;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQm-bJ/;;2500;;;2 сервер;;
ooo-autolombard.ru;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQp-v8/;;2500;;;2 сервер;;
https://прогулканакатере.рф;08.07.2023;ПАУЗА;https://tpv.sr/uhAC1t-8I/;;2500;;;;;
https://sidelka-vdom.ru/;08.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAC20-4b/;;2500;;;;;
https://m1-pack.ru/;10.07.2023;ЗАПУЩЕН;https://tpv.sr/uhADDK-fv/;;2500;;;;;
https://energodizel.com/;10.07.2023;ЗАПУЩЕН;https://tpv.sr/uhADDN-XT/;;2500;;;;;
https://trassteplotech.ru/;26.07.2023;ЗАПУЩЕН;;;2500;;;;;
https://kormotors.ru/;13.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAEm7-Aa/;;5000;;;;;
https://vkusnoff.ru/;13.07.20223;ЗАПУЩЕН;;;5000;;;2 сервер;;
https://profimet24.ru/;13.07.20223;ЗАПУЩЕН;;;2500;;;2 сервер;;
https://dts-if.ru/;12.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAMLM-Ki/;;2500;;;5 сервер;;
картонные-коробки.рф ;13.07.20223;ЗАПУЩЕН;https://tpv.sr/uhAPc2-wZ/;;2500;;;2 сервер;;
manigroup.ru;14.07.2023;ЗАПУЩЕН;;;5000;;;;;
https://izumrudlashes.ru/;14.07.2023;ПАУЗА;;;2500;;;;;
https://play-well.ru/ ;24.07.2023;ПАУЗА;;;2500;;;;;
https://opalubka77.ru/;26.07.2023;ЗАПУЩЕН;;;2500;;;2 сервер;;
https://установка-автосигнализации.рф;26.07.2023;ПАУЗА;;;2500;;;;;
https://philipp-plein-outlet.online/;26.07.2023;ПАУЗА;;;2500;;;;;
https://ekran-ok.ru/;26.07.2023;ЗАПУЩЕН;;;2500;;;3 сервер;;
https://prorabka24.ru/;01.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAPtb-EI/;;2500;;;1 сервер;;
https://kolodes-klin.ru/;01.07.2023;ПАУЗА;;;2500;;;;;
https://edimbystro.ru/;04.08.2023;ЗАПУЩЕН;;;2500;;;;;
https://msk-evrodom.ru/;04.08.2023;ЗАПУЩЕН;;;2500;;;;;
https://ffisraellaw.ru/;09.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAJqc-03/;;2500;;;3 сервер;;
https://sogreem-dom.ru/;12.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAMLP-5J/;;2500;;;5 сервер;;
https://www.legendppf.ru/;12.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAMLQ-SY/;;2500;;;5 сервер;;
https://n-pereezd.ru/;22.08.2023;ЗАПУЩЕН;;;2500;;;;;
https://ssoz.ru/;24.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAOt5-ZN/;;2500;;;;;
https://tehnorusm.ru/;24.08.2023;ПАУЗА;https://tpv.sr/uhAOt4-Ml/;;2500;;;;;
mosplit.ru;28.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAPcB-Np/;;;;;;;
shalom-center.ru;28.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAOaE-TM/;;;;;;;
https://myasniki.ru/;14.09.2023;ЗАПУЩЕН;https://tpv.sr/uhATZh-ih/;;;;;;;
https://garanteis.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAVgN-Gs/;;;;;;;
https://xn--80ajf4akjab7c7a.xn--80adxhks/;;ЗАПУЩЕН;https://tpv.sr/uhAVgQ-9J/;;;;;;;
https://pryazha-mira.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAVpc-BE/;;;;;;;
https://www.designf.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAWH4-r6/;;;;;;;
https://quantum-v.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAX8c-qO/;;;;;;;
https://myasniki.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAX8d-Qs/;;;;;;;
;;;;;;;;;;
mos-archi.ru ;23.06.2023;ПАУЗА ;https://tpv.sr/uhA2Zk-SY/;до 31 января ;3750;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
https://damgarder.ru;25.06.2023;ПАУЗА;https://tpv.sr/uhA27f-BT/;до 28 декабря  ;5000 _;;;;;
delsnab.ru;28.06.2023;ПАУЗА;https://tpv.sr/uhA3QJ-13/;до 28 декабря   ;5000 _;;;2 сервер;;
https://dent-academ.ru;28.07.2023;ПАУЗА;https://tpv.sr/uh9xKJ-6H/;до 28 августа ;;Замену дам;;4 сервер;;
https://metrologlab.ru;31.07.2023;ПАУЗА;https://tpv.sr/uhAIll-SD/;до 31 августа;5000;;;4 сервер;;
https://mos-upak.ru;01.08.2023;ПАУЗА;https://tpv.sr/uhAJmW-7W/;до 28 декабря   ;5000;5000;;4 сервер;;
https://ppk.spb.ru/;12.08.2023;ПАУЗА;https://tpv.sr/uhATUY-E5/;до 28 декабря   ;5000;;;;;
https://akvageo.ru;12.09.2023;ПАУЗА;https://tpv.sr/uhATQM-lX/;до 28 декабря ;5000;;;;;
https://cryptomagnat.online;12.09.2023;ПАУЗА;https://tpv.sr/uhATUw-In/;до 28 декабря   ;5000;;;;;
languagefocus.ru;14.09.2022;ПАУЗА;https://tpv.sr/uhAUfz-et/;до 28 декабря   ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
climat-24.ru >> holodos-24.ru;26.06.2023;ПАУЗА;https://tpv.sr/uhAOeP-e1/;до 10 сентября ;5000;;;;;
mosclimat-24.ru;26.06.2023;ПАУЗА;https://tpv.sr/uhACr0-vM/;до 10 сентября ;5000;;;;;
https://rich-kuhni.ru;11.08.2023;ПАУЗА;https://tpv.sr/uhAMHj-zV/;до 18 ноября  ;;за топ 100;;4 сервер;;
https://holodos-24.ru;;ПАУЗА ;https://tpv.sr/uhAbdP-X7/;;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;до 20 сентября;53000;Эдик помогает;;;;
uslugi-santehnikov.ru;26.06.2023;ПАУЗА;https://tpv.sr/uhA2x0-e0/;;;;;;;
profi-na-chas.ru;26.06.2023;ПАУЗА;https://tpv.sr/uhA2x1-4o/;;;;;;;
lideruslug.ru;27.06.2023;ПАУЗА;;;;;;;;
elektroprof.ru ;27.06.2023;ПАУЗА;;;;;;;;
profiremontnik.ru;07.06.2023;ПАУЗА;https://tpv.sr/uhAAzk-QB/;;;;;;;
domashniy-masterok.ru;07.06.2023;ПАУЗА;https://tpv.sr/uhAB1P-GV/;;;;;;;
uslugi-elektrik.ru;07.11.2023;ПАУЗА;;;;;;;;
mir-elektriki.ru;19.07.2023;ПАУЗА;;;;;;;;
;;;;;;;;;;
nresh.club;26.06.2023;ЗАПУЩЕН;https://tpv.sr/uhAOaV-Fl/;до 27 января  ;5000;тест накрутки свежего домена;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
vavada-411x.ru;27.06.2023;ПАУЗА;https://tpv.sr/uhA37T-u1/;;;неделя в заморозке;;;;
https://casino-x744.ru;27.06.2023;ПАУЗА;https://tpv.sr/uhASyx-xj/;до 15 сентября ;7500;;;;;
casinoxblank.ru;28.06.2023;ПАУЗА;https://tpv.sr/uhA3H8-Ko/;;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;12500;;;;;
cat-casino-registraciya5555w.ru замена на pattayahome.info;28.06.2023;ЗАПУЩЕН;https://tpv.sr/uhAPcW-Tn/;до 28 февраля  ;;;;;;
gama-play11.ru замена на atomm7x7.ru;28.06.2023;ПАУЗА;https://tpv.sr/uhALqd-Z7/;до 28 августа ;;;;2 сервер;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;15000;;;;;
9osey.ru;29.06.2023;ПАУЗА ;https://tpv.sr/uhA3Yl-sv/;до 13 декабря  ;;;;;;
komfort03.ru;29.06.2023;ПАУЗА ;https://tpv.sr/uhA3Yn-nk/;до 13 января     ;;;;2 сервер;;
vodahelp24.ru;29.06.2023;ПАУЗА ;https://tpv.sr/uhAG5M-g8/;до 13 января     ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
https://pickuptaxi.ru/;29.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA3gt-lT/;до 1 февраля  ;;;;;;
https://simph.pickuptaxi.ru/;29.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA3gs-ul/;до 1 февраля  ;;;;;;
https://kerch.pickuptaxi.ru/;29.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA3gr-Bf/;до 1 февраля  ;;;;;;
https://yalta.pickuptaxi.ru/;29.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA3gq-oG/;до 1 февраля  ;;;;;;
https://djank.pickuptaxi.ru/;29.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA3gp-0G/;до 1 февраля  ;;;;;;
sneakers-type.ru;11.08.2023;ПАУЗА;https://tpv.sr/uhAMLK-13/;до 11 сентября ;;;;5 сервер;;
https://aquapark.more-on.ru/;16.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAGN5-wW/;до 16 декабря  ;;;;;;
https://fitness.more-on.ru/;16.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAGN4-l8/;до 16 января  ;;;;;;
planken77.ru;20.07.2023;ПАУЗА ;https://tpv.sr/uhAHIH-vK/;до 20 августа;;;;;;
https://real-avto.com/;24.08.2023;ПАУЗА ;https://tpv.sr/uhAOpr-uw/;до 24 декабря  ;;;;;;
wild-tigers.ru;;ПАУЗА ;https://tpv.sr/uhAc9t-Ow/;до 19 декабря  ;;;;;;
Wai-Wai.ru;;ЗАПУЩЕН;;до 24 января ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;10.000;;;;;
watertodrink.ru;;ПАУЗА;https://tpv.sr/uhA42D-dY/;до 3 сентября  ;;;;2 сервер;;
vse-kraski.ru;;ПАУЗА;https://tpv.sr/uhA42E-iq/;до 3 сентября  ;;;;2 сервер;;
zaym-go.ru;21.07.2023;ПАУЗА ;;до 21 августа;7500;;;;;
estvaind.ru;03.08.2023;ПАУЗА;https://tpv.sr/uhAKpT-c2/;до 3 сентября ;5000;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
fabrika-himchistki.ru;03.07.2023;ЗАПУЩЕН;https://tpv.sr/uhA3Pg-PC/;до 11 февраля  ;10 000;;;2 сервер;;
kovroedov.ru;03.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAT60-ir/;до 11 февраля    ;;;;2 сервер;;
;;;;;;;;;;
greentechnica.ru;05.07.2023;ПАУЗА;https://tpv.sr/uhA8vx-fc/;до 5 октября   ;5000;;;2 сервер;;
;;;;;;;;;;
glavnaya-doroga.com;05.07.2023;ПАУЗА;https://tpv.sr/uhA6uw-L7/;до 4 октября ;5000;;;;;
;;;;;;;;;;
cleaning-servies.ru;07.07.2023;ПАУЗА ;https://tpv.sr/uhAAjh-4m/;до 9 декабря  ;7500;;;4 сервер;;
;;;;;;;;;;
dialcon.ru;07.07.2023;ПАУЗА;https://tpv.sr/uhA8y7-qT/;до 28 июля ;5000;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
design-parquet.ru;08.07.2023;ЗАПУЩЕН;https://tpv.sr/uhABk4-51/;до 30 января   ;2500;;;;;
spetsialistcorp.ru;08.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAB1g-0D/;до 30 января   ;2500;;;;;
wc-cubicles.ru;22.07.2023;ЗАПУЩЕН;;до 30 января   ;2500;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
buhlovoz-ekb.ru  (замена домена ekb.buhlovoz2.ru);09.07.2023;ПАУЗА;https://tpv.sr/uhAC1X-SQ/;до 9 сентября ;5000;;;;;
https://buhlovoz-msk.ru ;09.08.2023;ПАУЗА;https://tpv.sr/uhALcn-3T/;до 9 сентября ;5000;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента ;;;;;;;;;;
smu-27.ru (топвизор обновил и прикрепил);10.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAOeO-ZH/;до 23 декабря  ;5000;;;;;
rushbet.ru;10.07.2023;ЗАПУЩЕН;https://tpv.sr/uhACKR-PM/;до 11 декабря  ;5000;;;2 сервер;;
https://apollonia-dent.com/;11.07.2023;ЗАПУЩЕН;https://tpv.sr/uhAyih-kX/ ;до 16 января;5000;;;;;
dostavkatsvetov.ru;10.07.2023;ЗАПУЩЕН;https://tpv.sr/uhADOx-Gl/;до 11 декабря   ;5000;;;;;
